{'eval_loss': 1.4822087287902832, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6334306956983536, 'eval_runtime': 8.66, 'eval_samples_per_second': 869.748, 'eval_steps_per_second': 54.388}
{'eval_loss': 1.4865001440048218, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.6358204992033988, 'eval_runtime': 8.6478, 'eval_samples_per_second': 870.969, 'eval_steps_per_second': 54.464}
{'eval_loss': 1.4691802263259888, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.6285183218268721, 'eval_runtime': 8.6692, 'eval_samples_per_second': 868.824, 'eval_steps_per_second': 54.33}
{'eval_loss': 1.462594985961914, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6334306956983536, 'eval_runtime': 8.6701, 'eval_samples_per_second': 868.729, 'eval_steps_per_second': 54.324}
{'eval_loss': 1.4889647960662842, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6360860329261816, 'eval_runtime': 8.6744, 'eval_samples_per_second': 868.301, 'eval_steps_per_second': 54.298}
{'eval_loss': 1.44629967212677, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.6354221986192247, 'eval_runtime': 8.6864, 'eval_samples_per_second': 867.103, 'eval_steps_per_second': 54.223}
{'eval_loss': 1.4620578289031982, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.6311736590546999, 'eval_runtime': 8.6833, 'eval_samples_per_second': 867.417, 'eval_steps_per_second': 54.242}
{'eval_loss': 1.4474655389785767, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.6366171003717472, 'eval_runtime': 8.6846, 'eval_samples_per_second': 867.283, 'eval_steps_per_second': 54.234}
{'eval_loss': 1.4422049522399902, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.6383430695698353, 'eval_runtime': 8.6818, 'eval_samples_per_second': 867.567, 'eval_steps_per_second': 54.252}
{'eval_loss': 1.4691097736358643, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6352894317578333, 'eval_runtime': 8.6337, 'eval_samples_per_second': 872.395, 'eval_steps_per_second': 54.554}
{'eval_loss': 1.474403738975525, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6351566648964418, 'eval_runtime': 8.6238, 'eval_samples_per_second': 873.394, 'eval_steps_per_second': 54.616}
{'eval_loss': 1.4669673442840576, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.6347583643122676, 'eval_runtime': 8.6426, 'eval_samples_per_second': 871.497, 'eval_steps_per_second': 54.498}
