{'eval_loss': 1.5490206480026245, 'eval_model_preparation_time': 0.0123, 'eval_acc': 0.717870419543282, 'eval_runtime': 79.6117, 'eval_samples_per_second': 94.609, 'eval_steps_per_second': 5.916}
{'eval_loss': 1.531441330909729, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7187997875730218, 'eval_runtime': 79.0022, 'eval_samples_per_second': 95.339, 'eval_steps_per_second': 5.962}
{'eval_loss': 1.5656894445419312, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7142857142857143, 'eval_runtime': 80.1152, 'eval_samples_per_second': 94.015, 'eval_steps_per_second': 5.879}
{'eval_loss': 1.6019471883773804, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.7174721189591078, 'eval_runtime': 80.3228, 'eval_samples_per_second': 93.772, 'eval_steps_per_second': 5.864}
{'eval_loss': 1.6089723110198975, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7140201805629315, 'eval_runtime': 80.9339, 'eval_samples_per_second': 93.064, 'eval_steps_per_second': 5.82}
{'eval_loss': 1.6275755167007446, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7145512480084971, 'eval_runtime': 80.3635, 'eval_samples_per_second': 93.724, 'eval_steps_per_second': 5.861}
{'eval_loss': 1.6393699645996094, 'eval_model_preparation_time': 0.0098, 'eval_acc': 0.7129580456718003, 'eval_runtime': 79.9092, 'eval_samples_per_second': 94.257, 'eval_steps_per_second': 5.894}
{'eval_loss': 1.6085734367370605, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.7180031864046734, 'eval_runtime': 80.0456, 'eval_samples_per_second': 94.096, 'eval_steps_per_second': 5.884}
{'eval_loss': 1.597762107849121, 'eval_model_preparation_time': 0.0097, 'eval_acc': 0.7162772172065852, 'eval_runtime': 79.6193, 'eval_samples_per_second': 94.6, 'eval_steps_per_second': 5.916}
{'eval_loss': 1.6336663961410522, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.717870419543282, 'eval_runtime': 79.9334, 'eval_samples_per_second': 94.228, 'eval_steps_per_second': 5.892}
{'eval_loss': 1.6493147611618042, 'eval_model_preparation_time': 0.0112, 'eval_acc': 0.7128252788104089, 'eval_runtime': 78.782, 'eval_samples_per_second': 95.606, 'eval_steps_per_second': 5.979}
{'eval_loss': 1.6517527103424072, 'eval_model_preparation_time': 0.0132, 'eval_acc': 0.7158789166224111, 'eval_runtime': 79.1134, 'eval_samples_per_second': 95.205, 'eval_steps_per_second': 5.953}
{'eval_loss': 1.6676024198532104, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.7157461497610197, 'eval_runtime': 79.4732, 'eval_samples_per_second': 94.774, 'eval_steps_per_second': 5.927}
{'eval_loss': 1.6455049514770508, 'eval_model_preparation_time': 0.0093, 'eval_acc': 0.718534253850239, 'eval_runtime': 79.5825, 'eval_samples_per_second': 94.644, 'eval_steps_per_second': 5.918}
{'eval_loss': 1.6833689212799072, 'eval_model_preparation_time': 0.0091, 'eval_acc': 0.7226500265533723, 'eval_runtime': 79.443, 'eval_samples_per_second': 94.81, 'eval_steps_per_second': 5.929}
{'eval_loss': 1.6700966358184814, 'eval_model_preparation_time': 0.0106, 'eval_acc': 0.717206585236325, 'eval_runtime': 78.5999, 'eval_samples_per_second': 95.827, 'eval_steps_per_second': 5.992}
{'eval_loss': 1.6913427114486694, 'eval_model_preparation_time': 0.0125, 'eval_acc': 0.7158789166224111, 'eval_runtime': 80.0066, 'eval_samples_per_second': 94.142, 'eval_steps_per_second': 5.887}
{'eval_loss': 1.724409818649292, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.7141529474243229, 'eval_runtime': 79.4918, 'eval_samples_per_second': 94.752, 'eval_steps_per_second': 5.925}
{'eval_loss': 1.7258292436599731, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.715215082315454, 'eval_runtime': 79.792, 'eval_samples_per_second': 94.395, 'eval_steps_per_second': 5.903}
{'eval_loss': 1.6780250072479248, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.7164099840679766, 'eval_runtime': 80.4085, 'eval_samples_per_second': 93.672, 'eval_steps_per_second': 5.858}
{'eval_loss': 1.6950390338897705, 'eval_model_preparation_time': 0.0109, 'eval_acc': 0.7154806160382369, 'eval_runtime': 79.0982, 'eval_samples_per_second': 95.223, 'eval_steps_per_second': 5.955}
{'eval_loss': 1.7105125188827515, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.716542750929368, 'eval_runtime': 80.0306, 'eval_samples_per_second': 94.114, 'eval_steps_per_second': 5.885}
{'eval_loss': 1.6877764463424683, 'eval_model_preparation_time': 0.0096, 'eval_acc': 0.7141529474243229, 'eval_runtime': 80.3132, 'eval_samples_per_second': 93.783, 'eval_steps_per_second': 5.865}
{'eval_loss': 1.7191848754882812, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.7132235793945831, 'eval_runtime': 79.2227, 'eval_samples_per_second': 95.074, 'eval_steps_per_second': 5.945}
{'eval_loss': 1.7210686206817627, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.7109665427509294, 'eval_runtime': 80.0086, 'eval_samples_per_second': 94.14, 'eval_steps_per_second': 5.887}
{'eval_loss': 1.7075241804122925, 'eval_model_preparation_time': 0.0095, 'eval_acc': 0.7176048858204992, 'eval_runtime': 79.0795, 'eval_samples_per_second': 95.246, 'eval_steps_per_second': 5.956}
{'eval_loss': 1.721088171005249, 'eval_model_preparation_time': 0.0119, 'eval_acc': 0.7103027084439724, 'eval_runtime': 79.8667, 'eval_samples_per_second': 94.307, 'eval_steps_per_second': 5.897}
{'eval_loss': 1.72236967086792, 'eval_model_preparation_time': 0.0113, 'eval_acc': 0.7161444503451938, 'eval_runtime': 79.3339, 'eval_samples_per_second': 94.94, 'eval_steps_per_second': 5.937}
{'eval_loss': 1.725609302520752, 'eval_model_preparation_time': 0.0094, 'eval_acc': 0.7166755177907594, 'eval_runtime': 79.4811, 'eval_samples_per_second': 94.765, 'eval_steps_per_second': 5.926}
{'eval_loss': 1.7363754510879517, 'eval_model_preparation_time': 0.0092, 'eval_acc': 0.7141529474243229, 'eval_runtime': 79.4584, 'eval_samples_per_second': 94.792, 'eval_steps_per_second': 5.928}
{'eval_loss': 1.7277213335037231, 'eval_model_preparation_time': 0.0089, 'eval_acc': 0.7168082846521509, 'eval_runtime': 79.6817, 'eval_samples_per_second': 94.526, 'eval_steps_per_second': 5.911}
{'eval_loss': 1.7078536748886108, 'eval_model_preparation_time': 0.009, 'eval_acc': 0.7150823154540626, 'eval_runtime': 79.8343, 'eval_samples_per_second': 94.345, 'eval_steps_per_second': 5.9}
